,etiqueta,contenido
0,1, Go until jurong point crazy Available only in bugis n great world la e buffet Cine there got amore wat
1,1, Ok lar Joking wif u oni
2,0, Free entry in a wkly comp to win FA Cup final tkts st May  Text FA to to receive entry questionstd txt rateTCs apply overs
3,1, U dun say so early hor U c already then say
4,1, Nah I dont think he goes to usf he lives around here though
5,0, FreeMsg Hey there darling its been weeks now and no word back Id like some fun you up for it still Tb ok XxX std chgs to send £ to rcv
6,1, Even my brother is not like to speak with me They treat me like aids patent
7,1, As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press  to copy your friends Callertune
8,0, WINNER As a valued network customer you have been selected to receivea £ prize reward To claim call  Claim code KL Valid hours only
9,0, Had your mobile months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 
10,1, Im gonna be home soon and i dont want to talk about this stuff anymore tonight k Ive cried enough today
11,0, SIX chances to win CASH From to  pounds txt CSH and send to  Cost pday days  TsandCs apply Reply HL info
12,0, URGENT You have won a week FREE membership in our £ Prize Jackpot Txt the word CLAIM to No TC wwwdbuknet LCCLTD POBOX LDNWARW
13,1, Ive been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise You have been wonderful and a blessing at all times
14,1, I HAVE A DATE ON SUNDAY WITH WILL
15,0, XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here 
16,1, Oh kim watching here
17,1, Eh u remember how spell his name Yes i did He v naughty make until i v wet
18,1, Fine if thats the way u feel Thats the way its gota b
19,0, England v Macedonia  dont miss the goalsteam news Txt ur national team to eg ENGLAND to TryWALES SCOTLAND txtú POBOXoxWWQ 
20,1, Is that seriously how you spell his name
21,1, I‘m going to try for months ha ha only joking
22,1, So ü pay first lar Then when is da stock comin
23,1, Aft i finish my lunch then i go str down lor Ard smth lor U finish ur lunch already
24,1, Ffffffffff Alright no way I can meet up with you sooner
25,1, Just forced myself to eat a slice Im really not hungry tho This sucks Mark is getting worried He knows Im sick when I turn down pizza Lol
26,1, Lol your always so convincing
27,1, Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your moms left over dinner  Do you feel my Love 
28,1, Im back amp were packing the car now Ill let you know if theres room
29,1, Ahhh Work I vaguely remember that What does it feel like Lol
30,1, Wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
31,1, Yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till  But we wont go there Not doing too badly cheers You 
32,1, K tell me anything about you
33,1, For fear of fainting with the of all that housework you just did Quick have a cuppa
